,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
so4_c1,1.200241434018423e-10,8.965764242141461e-11,5.847342748888096e-11,6.325405477181079e-11,9.986542842677082e-11,1.701787044616765e-10,2.2280810529906603e-10,2.2669298382904657e-10,2.011064093032644e-10,5.827884702602759e-11,1.0964011643022076e-10,6.749840963937714e-11
so4_c2,1.174908803060204e-12,1.3391592522393747e-12,1.0645911235895866e-12,1.0660577238683078e-12,5.395667636645674e-13,1.615084476748463e-13,1.5067454391375773e-13,8.33887199200821e-14,1.8849338593879966e-13,5.804184173216487e-13,1.3080696465231356e-12,8.257459386401544e-13
so4_c3,4.129003996350411e-12,4.605276229807664e-12,5.273274004957695e-12,9.521401028722565e-12,1.2426974380086442e-11,1.1611887666684861e-11,1.0651672252559585e-11,1.1323807343199821e-11,1.8527098258336316e-11,6.71645551675315e-12,9.916582312252675e-12,2.795455924034518e-12
dst_a1,3.468546630469582e-11,4.02859377801601e-11,1.2794454384845722e-10,2.618087135974889e-10,2.0502877173811385e-10,1.969649721100808e-10,1.6909820765853567e-10,1.237831920297694e-10,9.191560707000335e-11,7.675357571734764e-11,6.766037036198824e-11,2.59668970353788e-11
dst_a3,3.6553146620654786e-10,8.199928513974442e-10,2.6645798900659656e-09,5.207295927789346e-09,3.2400693239509337e-09,1.678699068641265e-09,8.27438617623244e-10,7.203371232833433e-10,9.419878210792376e-10,1.4731414976765222e-09,1.3206429283485477e-09,4.342882442553986e-10
dst_c1,6.458168960547794e-13,9.033849514804293e-13,1.0963796060262099e-12,2.1579062321752662e-12,3.4835515548559126e-12,5.3981693247384666e-12,6.0346116124987415e-12,4.4161115736462975e-12,2.6903440412950896e-12,7.471948407222762e-13,1.4013689297528997e-12,4.3921992236815866e-13
dst_c3,1.0410565638718783e-11,1.8120560607570724e-11,2.5855586768819272e-11,4.6965886041361316e-11,5.310454159745959e-11,3.621371952311492e-11,2.6908981987094904e-11,2.238152024824913e-11,1.734493278171545e-11,1.4098165343479074e-11,2.7836510874124087e-11,6.69127904126543e-12
bc_a1,2.498045936771831e-10,2.3941787441472684e-10,2.0386294041774278e-10,1.6930364055145475e-10,2.0845809800551507e-10,2.8090210713038744e-10,3.1554595048000067e-10,3.4987338026759573e-10,3.3960423362344727e-10,2.805873866584818e-10,2.1463048005543328e-10,2.1154678009338568e-10
bc_a3,3.5315014801362565e-12,4.1258264166232905e-12,6.011891939133873e-12,9.350287905052213e-12,8.433004294872148e-12,6.723499361427354e-12,7.392489398405644e-12,8.442095113248005e-12,8.673122983693382e-12,8.639537869836733e-12,7.72722944658577e-12,3.828705148062328e-12
bc_a4,6.039347494324332e-11,5.301564048876273e-11,4.392837135713812e-11,3.518467461827157e-11,3.1858272964147005e-11,2.84170811881701e-11,2.7261156873570336e-11,3.030198314490917e-11,3.82797821218972e-11,4.336901324175635e-11,4.6119021795965054e-11,5.0546636320980554e-11
