,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
num_a2,369598560.0,347866720.0,316460928.0,214938000.0,186676560.0,152172944.0,127716392.0,103142384.0,94871664.0,121079176.0,236284256.0,399417952.0
num_a3,374286.53125,439005.125,629109.4375,570446.0625,534706.0625,412748.46875,339537.375,281960.78125,231083.375,174956.265625,201831.84375,373510.0
num_a4,23541.677734375,24824.9453125,21406.26171875,61938.50390625,122260.2421875,204140.625,258648.6875,288223.6875,278533.5,97033.53125,19773.625,11031.2314453125
num_c1,5495232.5,5329011.5,4857421.0,3243073.25,1085991.875,747627.75,406814.28125,592410.4375,681653.5625,525194.375,954660.75,3948593.75
num_c2,1036866.1875,1057771.75,1000940.3125,771716.5,362354.03125,232707.59375,181306.890625,272417.84375,370897.46875,338175.78125,379007.34375,780813.375
num_c3,63354.6796875,62242.35546875,65461.78125,44338.5078125,14321.009765625,10105.5986328125,4939.2578125,7671.81005859375,8436.2998046875,5314.97412109375,8907.6416015625,42346.55859375
num_c4,0.00022451153199654073,0.0001553143811179325,6.350406329147518e-05,1.9947268810938112e-05,4.877610081166495e-06,3.2601408292975975e-06,2.0444845176825766e-06,2.4499933715560474e-05,0.0003633500018622726,0.00010112380550708622,2.1440167984110303e-05,7.886039384175092e-05
wat_a1,3.0557021357680014e-09,3.5202325499028575e-09,4.366562222912762e-09,3.5325391500862224e-09,2.7936246649318264e-09,2.1207140488144205e-09,1.887983325232767e-09,1.7157082421448422e-09,1.6282023507230292e-09,1.1614891270994576e-09,1.4358696454053188e-09,2.9138471635548058e-09
wat_a2,9.773125364542778e-11,9.692822933171641e-11,9.213118462580994e-11,6.69744329440114e-11,5.651527162919834e-11,4.429413780204783e-11,3.933863304550478e-11,3.560798184087943e-11,3.293368702750321e-11,3.010149421389663e-11,4.759969848833201e-11,9.560314345735677e-11
wat_a3,6.797358054200231e-08,7.981511629395754e-08,1.0007771322761982e-07,8.123824102312938e-08,7.151072622946231e-08,5.712504957955389e-08,5.0268567974853795e-08,4.463953828803824e-08,3.666198722385161e-08,2.7699861959717964e-08,3.803732084861622e-08,7.007879077036705e-08
wat_a4,4.065628114028348e-17,4.4074049156287234e-17,2.730088601343709e-17,3.121004398105042e-17,4.2274272888216807e-17,4.7698195426400516e-17,4.6432000284263544e-17,5.569872932440525e-17,6.962035770468502e-17,4.7507576617321346e-17,1.9308139193718928e-17,1.7426405870556746e-17
Q,0.0036632639821618795,0.00372531870380044,0.003528919769451022,0.0031139717902988195,0.0029011566657572985,0.0025262569542974234,0.0021229672711342573,0.001910494058392942,0.0019422959303483367,0.0022044838406145573,0.0028061806224286556,0.003397888969630003
PS,98386.2265625,98378.7578125,98312.90625,98266.3203125,97950.5546875,97921.9921875,97553.90625,97315.8515625,97697.625,97819.8046875,97957.1015625,98162.8125
T,273.48431396484375,273.8283386230469,273.4718933105469,272.4154968261719,271.4738464355469,269.8392028808594,267.3013000488281,264.3808288574219,263.9182434082031,265.9988708496094,269.9505310058594,272.4766540527344
dgnd_a01,1.2571850049880595e-07,1.3159682055174926e-07,1.3993731329264847e-07,1.406440617301996e-07,1.3920235630848765e-07,1.3816189436965942e-07,1.359279764301391e-07,1.3343145610633655e-07,1.3118231834141625e-07,1.2804549953671085e-07,1.245687428763631e-07,1.2524350267995032e-07
dgnd_a02,3.2653140635829914e-08,3.2112932757399903e-08,3.1597892302670516e-08,3.1763846664034645e-08,3.076336341223396e-08,3.013538929508286e-08,2.9990363970000544e-08,3.048728913768173e-08,3.006476845257566e-08,2.914901031658701e-08,2.95117406068357e-08,3.145073534938092e-08
dgnd_a03,1.7630301272220095e-06,1.7492973256594269e-06,1.7609227143111639e-06,1.8033316564469715e-06,1.8221423943032278e-06,1.8636391132531571e-06,1.9183651147614e-06,1.898372033792839e-06,1.825804247346241e-06,1.825701360758103e-06,1.8763330444926396e-06,1.8045042224912322e-06
dgnd_a04,9.99778038135446e-08,9.999881456224102e-08,9.999489947176698e-08,9.999942562899378e-08,9.999999406318238e-08,9.999999406318238e-08,9.99948639446302e-08,9.999966721352394e-08,9.998896643992339e-08,9.999976668950694e-08,9.999673267202525e-08,9.999421735074066e-08
